name	taxonomy_id	taxonomy_lvl	SRR8146935.bracken_num	SRR8146935.bracken_frac	SRR8146936.bracken_num	SRR8146936.bracken_frac	SRR8146938.bracken_num	SRR8146938.bracken_frac	SRR8146944.bracken_num	SRR8146944.bracken_frac	SRR8146951.bracken_num	SRR8146951.bracken_frac	SRR8146952.bracken_num	SRR8146952.bracken_frac
Alistipes sp. i18-0019-D1	3132707	S	666	0.00185	1500	0.00348	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Alistipes indistinctus	626932	S	159	0.00044	0	0.00000	68	0.00022	339	0.00091	61	0.00010	17	0.00004
uncultured Alistipes sp.	538949	S	153	0.00042	0	0.00000	24	0.00008	0	0.00000	0	0.00000	0	0.00000
Alistipes shahii	328814	S	458	0.00127	119	0.00028	4381	0.01398	192	0.00052	985	0.00160	157	0.00036
Parabacteroides distasonis	823	S	6245	0.01734	11969	0.02778	2579	0.00823	6996	0.01881	5365	0.00874	6793	0.01554
Parabacteroides johnsonii	387661	S	1540	0.00428	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Parabacteroides merdae	46503	S	86	0.00024	17971	0.04171	1011	0.00323	23	0.00006	0	0.00000	1796	0.00411
Barnesiella intestinihominis	487174	S	3313	0.00920	2184	0.00507	1752	0.00559	394	0.00106	659	0.00107	1481	0.00339
Barnesiella sp. An22	1965590	S	817	0.00227	0	0.00000	66	0.00021	0	0.00000	0	0.00000	0	0.00000
Butyricimonas virosa	544645	S	441	0.00122	0	0.00000	855	0.00273	0	0.00000	20	0.00003	156	0.00036
Butyricimonas paravirosa	1472417	S	622	0.00173	0	0.00000	3028	0.00966	0	0.00000	0	0.00000	238	0.00054
Odoribacter splanchnicus	28118	S	691	0.00192	362	0.00084	4048	0.01292	1027	0.00276	370	0.00060	794	0.00182
Segatella copri	165179	S	153	0.00042	242494	0.56280	401	0.00128	246536	0.66300	374	0.00061	176100	0.40274
Akkermansia muciniphila	239935	S	430	0.00119	1355	0.00314	9047	0.02887	0	0.00000	0	0.00000	11975	0.02739
Haemophilus parainfluenzae	729	S	36	0.00010	0	0.00000	54	0.00017	153	0.00041	102	0.00017	77	0.00018
Oxalobacter aliiformigenes	2946593	S	121	0.00034	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Bilophila wadsworthia	35833	S	125	0.00035	0	0.00000	722	0.00230	79	0.00021	122	0.00020	67	0.00015
Faecalibacterium prausnitzii	853	S	66795	0.18547	199	0.00046	33624	0.10732	10209	0.02745	67193	0.10943	13914	0.03182
Faecalibacterium sp. I3-3-89	2929493	S	12668	0.03517	643	0.00149	111	0.00035	0	0.00000	0	0.00000	418	0.00096
Faecalibacterium sp. I4-3-84	2929495	S	3848	0.01068	0	0.00000	1001	0.00319	853	0.00229	1427	0.00232	304	0.00070
Faecalibacterium sp. i21-0019-B1	3141184	S	4510	0.01252	0	0.00000	572	0.00183	0	0.00000	0	0.00000	261	0.00060
